试卷,日期,成绩
超越卷23-1,9-19,114
06真题,9-23,127
07真题,9-24,120
超越卷25-1,9-27,126
超越卷25-2,9-28,90
08真题,9-29,130
09真题,9-30,134
超越卷25-3,10-1,113
10真题,10-2,125
11真题,10-5,135
12真题,10-6,144
26张八卷一,10-6,86
25张八卷一,10-7,117
25张八卷二,10-7,95
25张八卷三,10-8,110
21真题,10-9,133
22真题,10-10,120
14年真题,10-17,127
14年真题,10-18,136
15年真题,10-19,150
16年真题,10-20,126
17年真题,10-21,120
18年真题,10-22,131
19年真题,10-23,138
20真题,10-24,150
23真题,10-25,135
张八卷二,10-26,120
张八卷三,10-27,108
张八卷四,10-29,125
张八卷五,10-30,128
张八卷六,10-31,134
张八卷七,11-1,131
张八卷八,11-2,144
李林六卷一,11-3,108
李六卷二,11-4,108
李六卷三,11-5,121
李六卷四,11-6,109
李六卷五,11-7,112
李六卷六,11-8,125
25李艳芳卷一,11-9,120
26李艳芳卷一,11-10,99
25李艳芳卷二,11-11,106
26李艳芳卷二,11-12,115
26李艳芳卷三,11-13,100
26超越1,11-14,120
26超越2,11-15,112
26超越3,11-16,135
26超越4,11-18,118
26超越5,11-19,125
26超越6,11-20,114
26超越7,11-21,114
26超越8,11-22,145
26超越9,11-23,110
26超越10,11-24,112
26张四卷一,11-26,150
26张四卷二,11-27,117
26张四卷四,11-28,135
26张四卷三,11-29,124
26李四卷一,12-3,125
